reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment,Language
a1c885bc-b577-4a5d-ae86-3de77ebb8d90,Jenny From the block,https://play-lh.googleusercontent.com/a-/ALV-UjWPCFllFnKHPTxIVY_wHRzijX4z-utmQNcK1F2DMt2xYHWx,Great app for shopping but it won't show my orders and keeps glitching. It never used to do that,4,0,28.2.2.100,2024-02-03 23:45:21,,,28.2.2.100,2,en
4e9fe778-291e-45e0-b938-9c5aad81953f,Hulken,https://play-lh.googleusercontent.com/a-/ALV-UjW9SKuJNl_M00YcojvBrCSmRsBjv1KGEU8IZyP_ZTPtR_LB,"Delivery is extremely inconsistent! I pay for Prime service which means my packages should be delivered to my apartment door. Usually they are dumped in a large pile in our apartment building lobby for all our buildings Amazon customers to sort through. This is frustrating especially for people with limited physical abilities. Try to express this to a human at Amazon and there is no venue, just bots. So beware if you are considering a Prime membership.",3,2,28.1.0.100,2024-01-21 18:07:15,,,28.1.0.100,1,en
151066cd-1b10-418c-a8cb-4975a27834a7,Sylvia Figueroa,https://play-lh.googleusercontent.com/a-/ALV-UjVRUVaN0AyBuT7vl6vtwN3tAkYN4czXJDR6UIQPLUJVf2g,Always get what im looking for and never had problems with delivery. keep up the hard work. thank hou,5,1,28.2.2.100,2024-01-28 00:38:31,,,28.2.2.100,2,en
3d59bd13-0651-4709-9ffe-d35a4afd7a1c,P N (litesabr),https://play-lh.googleusercontent.com/a-/ALV-UjWMfJl9NyIjazOEJR6pxyhcSMjcQFlbqSWLmfX4wLuimA,"So many options that sometimes it's hard to find things, but then you just search for what setting you need in the search bar, and it comes up. It's so easy. One of the smoothest apps out there, but it is to be expected with being for the largest company on the planet.",5,3,28.1.0.100,2024-01-21 19:34:33,,,28.1.0.100,2,en
2154136b-8a7d-4f85-90af-1387927623b4,Ruth Rodriguez,https://play-lh.googleusercontent.com/a-/ALV-UjUd-l37sKHJfYGO3_LaMPHLFyCnuXm96QdRkWKNHX8X1g4,This is where I bought my first computer,5,0,28.3.0.100,2024-02-13 22:52:04,,,28.3.0.100,2,en
c6575ef6-c74f-44ef-abca-6b181b92750d,Linda Murray,https://play-lh.googleusercontent.com/a-/ALV-UjXS-vE5SPvaKTv5BtTnBMPzrStfKTKEYFEix7rLn9J__aE,To be honest delivery took so long that I couldn't use it,1,0,28.2.2.100,2024-02-02 19:45:07,,,28.2.2.100,0,en
5fa9b9ca-cefb-4056-bafb-9908b8d75072,jack shilatos,https://play-lh.googleusercontent.com/a-/ALV-UjUi-0SGZ_jOv1tfT0kO1P1GgMZvsbbuXCihFefjU3e7IC8,"Very bad, I will just go to Amazon. Ca",1,1,26.22.0.100,2024-01-24 23:38:45,,,26.22.0.100,0,en
0dd0809b-b6a1-4245-8340-934a3d67dc2e,Joshua Wesely,https://play-lh.googleusercontent.com/a/ACg8ocLAJUYx66qgXJ-W_u9bjbZSExzaaaZ7tZNoZwrz3aI3=mo,Love this shopping app. Has everything I need and want,5,0,28.2.2.100,2024-01-25 22:05:29,,,28.2.2.100,2,en
7c7109af-0dd6-4fc3-b404-65b2ef4f819d,Joanne Johnson,https://play-lh.googleusercontent.com/a/ACg8ocIJrDGE3GVB0YJBjtvgZq0k1m9oVT_4PJM5fS6XNk7J=mo,"Amazon is the best online shopping you'll ever need to use ,they're the best!!",5,0,28.2.2.100,2024-02-08 22:08:19,,,28.2.2.100,2,en
fc59ee42-80e2-485d-92bc-aa8ed2a352a0,ernesercarmelchculgreycatrumpyval Sanzmstrspsrspsps,https://play-lh.googleusercontent.com/a-/ALV-UjV2IkXtufq6LReN0xE759LxLAVF_avJScABDZviXb3hcw,l bont tlnc people who apracuate us deserve to buy wlth us Mr amsnz employe Jeff besoz,3,0,20.20.0.100,2024-01-18 13:07:21,,,20.20.0.100,1,en
694fe456-35db-47f2-9d48-17c8c5428899,Lisa Beale,https://play-lh.googleusercontent.com/a/ACg8ocIMpRZB2lGVKmdqKSLajspSHmVlkAzhf49IUPW-FA3f=mo,I've. Been a customer for years love it always,5,0,26.6.2.100,2024-02-17 21:56:43,,,26.6.2.100,2,en
55043e46-56dc-4f37-9a74-a56d6da68576,donotbringmeintothis,https://play-lh.googleusercontent.com/a-/ALV-UjVatMaE6NDid5yQQHkQaWi23CnxMtUPkrgqpcs5EpVyKtg,"Loved it at first! And still do. My only problem is that I can't buy gift cards like roblox with my gift card balance. Im a teen, meaning I can't work just yet, but they expect me to pay real money?? I have my gift card money and that's it.",2,0,28.1.0.100,2024-01-27 00:56:01,,,28.1.0.100,0,en
